symbol,trades,total_pnl,avg_pnl,avg_hold_bars,win_rate
6857,28,215.0,7.678571428571429,1.1785714285714286,0.6428571428571429
4098,52,163.5,3.144230769230769,5.615384615384615,0.5
3692,29,145.0,5.0,1.6206896551724137,0.4482758620689655
9983,16,120.0,7.5,1.375,0.5625
285A,24,115.0,4.791666666666667,1.2083333333333333,0.4583333333333333
5707,55,112.0,2.036363636363636,3.036363636363636,0.4909090909090909
6871,36,105.0,2.9166666666666665,1.5,0.5555555555555556
8035,8,105.0,13.125,1.0,0.625
5802,6,100.0,16.666666666666668,1.6666666666666667,0.6666666666666666
6323,35,99.0,2.8285714285714287,4.0,0.5714285714285714
6590,24,90.0,3.75,1.0833333333333333,0.5
6525,30,87.5,2.9166666666666665,2.1666666666666665,0.5
6890,40,80.0,2.0,3.125,0.575
9984,37,71.5,1.9324324324324325,5.054054054054054,0.5135135135135135
4237,57,68.5,1.2017543859649122,10.403508771929825,0.45614035087719296
4506,25,67.25,2.69,11.64,0.6
5332,23,67.0,2.9130434782608696,6.782608695652174,0.5652173913043478
202A,18,62.5,3.4722222222222223,20.22222222222222,0.3888888888888889
7014,27,57.5,2.1296296296296298,6.0,0.48148148148148145
5216,7,54.0,7.714285714285714,28.142857142857142,0.8571428571428571
6723,9,45.5,5.055555555555555,8.0,0.5555555555555556
5801,1,45.0,45.0,1.0,1.0
6506,16,44.0,2.75,3.0,0.5625
4531,33,42.5,1.2878787878787878,23.606060606060606,0.5151515151515151
4507,24,41.0,1.7083333333333333,24.666666666666668,0.5833333333333334
2667,21,40.5,1.9285714285714286,31.238095238095237,0.6190476190476191
4063,6,35.0,5.833333333333333,5.333333333333333,0.6666666666666666
6762,11,29.0,2.6363636363636362,15.181818181818182,0.6363636363636364
4584,21,28.5,1.3571428571428572,31.61904761904762,0.42857142857142855
3350,35,24.0,0.6857142857142857,30.285714285714285,0.4
198A,35,23.0,0.6571428571428571,21.914285714285715,0.4857142857142857
4593,24,19.0,0.7916666666666666,39.166666666666664,0.4166666666666667
7731,4,17.25,4.3125,5.0,0.75
157A,31,15.5,0.5,6.774193548387097,0.41935483870967744
6963,8,15.25,1.90625,7.375,0.5
8411,1,15.0,15.0,3.0,1.0
5243,2,14.5,7.25,2.5,0.5
1801,25,10.0,0.4,3.44,0.44
7711,68,10.0,0.14705882352941177,2.176470588235294,0.38235294117647056
7779,16,9.0,0.5625,44.875,0.5
3697,8,9.0,1.125,32.0,0.5
3647,16,9.0,0.5625,48.6875,0.375
7280,62,7.5,0.12096774193548387,7.338709677419355,0.41935483870967744
7746,58,6.0,0.10344827586206896,6.672413793103448,0.46551724137931033
5803,8,5.0,0.625,1.25,0.375
7771,18,4.0,0.2222222222222222,41.666666666666664,0.4444444444444444
6993,21,4.0,0.19047619047619047,45.04761904761905,0.38095238095238093
6361,10,4.0,0.4,5.0,0.4
3436,25,3.0,0.12,13.64,0.48
6501,22,-1.5,-0.06818181818181818,4.7272727272727275,0.3181818181818182
5401,8,-2.749999999999659,-0.34374999999995737,45.75,0.375
4062,21,-3.5,-0.16666666666666666,2.5238095238095237,0.47619047619047616
9501,36,-4.450000000000159,-0.12361111111111553,26.416666666666668,0.3888888888888889
4107,11,-5.0,-0.45454545454545453,5.545454545454546,0.36363636363636365
7011,6,-5.0,-0.8333333333333334,7.0,0.3333333333333333
2768,4,-5.5,-1.375,3.75,0.25
1812,1,-7.5,-7.5,1.0,0.0
5631,10,-10.0,-1.0,3.8,0.4
6330,47,-10.0,-0.2127659574468085,1.446808510638298,0.44680851063829785
7182,2,-11.5,-5.75,11.5,0.0
4004,6,-11.5,-1.9166666666666667,2.1666666666666665,0.3333333333333333
8306,10,-11.75,-1.175,33.2,0.5
8316,3,-14.0,-4.666666666666667,33.0,0.0
6702,3,-15.0,-5.0,6.333333333333333,0.0
8058,5,-16.0,-3.2,16.8,0.2
7203,3,-17.0,-5.666666666666667,6.0,0.0
6315,58,-19.5,-0.33620689655172414,3.310344827586207,0.3793103448275862
8136,13,-19.5,-1.5,6.076923076923077,0.46153846153846156
6269,14,-20.0,-1.4285714285714286,1.9285714285714286,0.5
6752,7,-21.25,-3.0357142857142856,16.714285714285715,0.14285714285714285
7013,7,-22.5,-3.2142857142857144,4.0,0.2857142857142857
7735,25,-22.5,-0.9,1.32,0.4
9250,26,-23.0,-0.8846153846153846,3.423076923076923,0.34615384615384615
6526,12,-23.5,-1.9583333333333333,11.5,0.3333333333333333
6098,8,-24.0,-3.0,3.625,0.375
7911,13,-25.0,-1.9230769230769231,8.538461538461538,0.3076923076923077
9509,7,-29.25,-4.178571428571429,17.571428571428573,0.0
6920,3,-35.0,-11.666666666666666,1.3333333333333333,0.6666666666666666
6273,3,-35.0,-11.666666666666666,1.6666666666666667,0.0
7729,9,-37.5,-4.166666666666667,1.2222222222222223,0.3333333333333333
6758,15,-38.5,-2.566666666666667,5.866666666666666,0.26666666666666666
8267,14,-39.0,-2.7857142857142856,14.357142857142858,0.2857142857142857
5713,7,-42.0,-6.0,2.2857142857142856,0.14285714285714285
6146,2,-55.0,-27.5,1.0,0.5
3110,16,-55.0,-3.4375,1.125,0.5625
7974,13,-56.0,-4.3076923076923075,6.153846153846154,0.23076923076923078
7003,12,-63.0,-5.25,3.0833333333333335,0.25
5016,33,-63.25,-1.9166666666666667,6.424242424242424,0.3939393939393939
6166,53,-67.0,-1.2641509433962264,13.830188679245284,0.41509433962264153
168A,37,-73.5,-1.9864864864864864,11.405405405405405,0.3783783783783784
6814,10,-85.0,-8.5,1.7,0.2
215A,18,-89.0,-4.944444444444445,9.5,0.16666666666666666
7012,45,-92.5,-2.0555555555555554,2.3555555555555556,0.37777777777777777
6954,35,-99.0,-2.8285714285714287,4.285714285714286,0.2857142857142857
4082,91,-144.5,-1.5879120879120878,2.6043956043956045,0.3626373626373626
5706,12,-165.0,-13.75,1.25,0.4166666666666667
